License #,Status,Entity Name,Trade Name,Address,Class,Type 
A BRA -099505,405.1 New Const,"Cotton & Reed, Inc.",Cotton & Reed,"1330 5TH ST NW, WASHINGTON, DC 20001",A,Manufacturer 
A BRA -087725,Active,New Columbia Distillers LLC.,New Columbia Distillers,"1832 FENWICK ST NE, WASHINGTON, DC 20002",A,Manufacturer 
A BRA -087859,Active,Think Italian LLC,Don Ciccio & Figli,"6031 KANSAS AVE NW, WASHINGTON, DC 20011",A,Manufacturer 
A BRA -092751,Active,"One-Eight Distilling, LLC",One-Eight Distilling,"1135 OKIE ST NE, WASHINGTON, DC 20002",A,Manufacturer 
A BRA -097516,Active,Right Forward LLC,Right Proper Brewing Company,"920 GIRARD ST NE, WASHINGTON, DC 20017",A,Manufacturer 
A BRA -097825,Active,"Jos. A. Magnus & Co., LLC",Jos. A. Magnus & Co.,"2052 WEST VIRGINIA AVE NE, WASHINGTON, DC 20002",A,Manufacturer 
A BRA -101343,Active,"REPUBLIC RESTORATIVES, LLC",REPUBLIC RESTORA TIVES,"1369 NEW YORK AVE NE, WASHINGTON, DC 20002",A,Manufacturer 
A BRA -102895,Active,"VC Imports, LLC",Vintage Cellars,"301 New York AVE NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -077726,Active,"Tae Kwang, Inc.",Sylvia's Liquors,"1818 BENNING RD NE, Washington, DC 20002",A,Retail - Liquor Store 
A BRA -080559,Active,"Brentwood Road Beverages, LLC",Woodridge Vet's Liquors,"1358 BRENTWOOD RD NE, Washington, DC 20018",A,Retail - Liquor Store 
A BRA -080830,Active,"Majestic Beverage Sales, LLC",Circle Wine & Spirits,"5501 CONNECTICUT AVE NW, WASHINGTON, DC 20015",A,Retail - Liquor Store 
A BRA -080900,Active,AG Corporation,Fairmont Liquor & Grocery,"2633 SHERMAN AVE NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -081464,Active,"Weygandt Wines, LLC",Weygandt Wines,"3519 CONNECTICUT AVE NW, Washington, DC 20008",A,Retail - Liquor Store 
A BRA -082040,Active,"Y & J CHUNG, CORP",Log Cabin Liquor,"1748 7TH ST NW, Washington, DC 20001",A,Retail - Liquor Store 
A BRA -082054,Active,"Vinnakota-Chon, Inc.",Lax Wine & Spirits,"3035 NAYLOR RD SE, Washington, DC 20020",A,Retail - Liquor Store 
A BRA -082076,Active,"Uncha, Inc.",Weltman's Liquors,"3938 MINNESOTA AVE NE, Washington, DC 20019",A,Retail - Liquor Store 
A BRA -082981,Active,YOHANNES A. WOLDEMICHAEL,Capitol Fine Wine & Spirits,"415 H ST NE, WASHINGTON, DC 20002",A,Retail - Liquor Store 
A BRA -084123,Active,"12 & G Spirits, LLC",Imperial Wine & Spirits,"620 12TH ST NW, WASHINGTON, DC 20005",A,Retail - Liquor Store 
A BRA -084240,Active,"Lin's spirit, Inc.",JB Liquors,"3914 14TH ST NW, WASHINGTON, DC 20011",A,Retail - Liquor Store 
A BRA -084387,Active,Pour Liquor & More LLC,Modern Liquors,"901 M ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -084582,Active,"1618 Variety Market, LLC",1618 Variety Market,"1618 8th ST NW, WASHINGTON, DC 20001",A,Retail - Liquor Store 
A BRA -084834,Active,"909 NJ, LLC",Harry's Reserve,"909 NEW JERSEY AVE SE, WASHINGTON, DC 20003",A,Retail - Liquor Store 
A BRA -084939,Active,"Lee's Mini Market, Inc.",Lee's Mini Market,"3853 Alabama AVE SE, WASHINGTON, DC 20020",A,Retail - Liquor Store 
A BRA -085209,Active,"Jade Liquors, Inc.",Georgetown Wine and Spirits,"1500 27TH ST NW, WASHINGTON, DC 20007",A,Retail - Liquor Store 
A BRA -085215,Active,"H & M Liquors, Inc.",Shipley Liquors,"2281 SAVANNAH ST SE, WASHINGTON, DC 20020",A,Retail - Liquor Store 
A BRA -085918,Active,"Eun & Peter, Inc.",Uncle Lee's Seafood,"1102 EASTERN AVE NE, WASHINGTON, DC 20019",A,Retail - Liquor Store 
