OBJECTID,ISSUE_DATE,PERMIT_TYPE_NAME,PERMIT_SUBTYPE_NAME,APPLICATION_STATUS_NAME,FULL_ADDRESS,ZONING,LASTMODIFIEDDATE,CITY,STATE,LATITUDE,LONGITUDE,ZIPCODE,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT
406370,2016-01-27T00:00:00.000Z,CONSTRUCTION,DEMOLITION,PERMIT ISSUED,"3000 CONNECTICUT AVE NW #J, WASHINGTON, DC 20008",,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.929893,-77.055565,20008,3,3C,SECOND,204,15,NONE
406677,2016-01-14T00:00:00.000Z,CONSTRUCTION,ALTERATION AND REPAIR,PERMIT ISSUED,"1705 W ST SE, WASHINGTON, DC 20020",R-5-A,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.862682,-76.980136,20020,8,8A,SEVENTH,701,28,NONE
406678,2016-01-14T00:00:00.000Z,CONSTRUCTION,ALTERATION AND REPAIR,PERMIT ISSUED,"1038 BLADENSBURG RD NE, WASHINGTON, DC 20002",,2016-05-26T15:55:40.000Z,WASHINGTON,DC,38.903464,-76.981498,20002,5,5B,FIFTH,506,23,NONE
406679,2016-01-14T00:00:00.000Z,CONSTRUCTION,ALTERATION AND REPAIR,PERMIT ISSUED,"3405 17TH ST NE, WASHINGTON, DC 20018",R-1-B,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.932522,-76.980878,20018,5,5A,FIFTH,504,22,NONE
406680,2016-01-14T00:00:00.000Z,CONSTRUCTION,AWNING,PERMIT ISSUED,"1647 20TH ST NW, WASHINGTON, DC 20009",,2016-07-19T08:12:12.000Z,WASHINGTON,DC,38.912472,-77.04457,20009,2,2B,SECOND,208,6,NONE
406681,2016-01-14T00:00:00.000Z,CONSTRUCTION,DEMOLITION,PERMIT ISSUED,"3348 PROSPECT ST NW, WASHINGTON, DC 20007",,2016-07-18T08:11:27.000Z,WASHINGTON,DC,38.905795,-77.067717,20007,2,2E,SECOND,206,4,NONE
406682,2016-01-14T00:00:00.000Z,CONSTRUCTION,DEMOLITION,COMPLETED,"601 EDGEWOOD ST NE, WASHINGTON, DC 20017",,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.9239,-76.997498,20017,5,5C,FIFTH,502,21,NONE
406683,2016-01-14T00:00:00.000Z,CONSTRUCTION,MISCELLANEOUS,PERMIT ISSUED,"5701 BROAD BRANCH RD NW, WASHINGTON, DC 20015",,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.966628,-77.068037,20015,4,3G,SECOND,201,10,NONE
406686,2016-01-14T00:00:00.000Z,CONSTRUCTION,MISCELLANEOUS,PERMIT ISSUED,"2507 1ST ST NW, WASHINGTON, DC 20002",,2016-05-26T15:55:40.000Z,WASHINGTON,DC,38.923039,-77.010681,20002,5,5C,FIFTH,501,21,NONE
406928,2016-02-01T00:00:00.000Z,CONSTRUCTION,ADDITION,PERMIT ISSUED,"2009 COLUMBIA RD NW #2, WASHINGTON, DC 20009",R-5-D,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.917545,-77.04604,20009,1,1C,THIRD,303,1,NONE
