OBJECTID,ISSUE_DATE,PERMIT_TYPE_NAME,PERMIT_SUBTYPE_NAME,APPLICATION_STATUS_NAME,FULL_ADDRESS,ZONING,LASTMODIFIEDDATE,CITY,STATE,LATITUDE,LONGITUDE,ZIPCODE,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,gis_id
406370,2016-01-27T00:00:00.000Z,CONSTRUCTION,DEMOLITION,PERMIT ISSUED,"3000 CONNECTICUT AVE NW #J, WASHINGTON, DC 20008",,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.929893,-77.055565,20008,3,3C,SECOND,204,15,NONE,Nbclus_015
406677,2016-01-14T00:00:00.000Z,CONSTRUCTION,ALTERATION AND REPAIR,PERMIT ISSUED,"1705 W ST SE, WASHINGTON, DC 20020",R-5-A,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.862682,-76.980136,20020,8,8A,SEVENTH,701,28,NONE,Nbclus_028
406678,2016-01-14T00:00:00.000Z,CONSTRUCTION,ALTERATION AND REPAIR,PERMIT ISSUED,"1038 BLADENSBURG RD NE, WASHINGTON, DC 20002",,2016-05-26T15:55:40.000Z,WASHINGTON,DC,38.903464,-76.981498,20002,5,5B,FIFTH,506,23,NONE,Nbclus_023
406679,2016-01-14T00:00:00.000Z,CONSTRUCTION,ALTERATION AND REPAIR,PERMIT ISSUED,"3405 17TH ST NE, WASHINGTON, DC 20018",R-1-B,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.932522,-76.980878,20018,5,5A,FIFTH,504,22,NONE,Nbclus_022
406680,2016-01-14T00:00:00.000Z,CONSTRUCTION,AWNING,PERMIT ISSUED,"1647 20TH ST NW, WASHINGTON, DC 20009",,2016-07-19T08:12:12.000Z,WASHINGTON,DC,38.912472,-77.04457,20009,2,2B,SECOND,208,6,NONE,Nbclus_006
406681,2016-01-14T00:00:00.000Z,CONSTRUCTION,DEMOLITION,PERMIT ISSUED,"3348 PROSPECT ST NW, WASHINGTON, DC 20007",,2016-07-18T08:11:27.000Z,WASHINGTON,DC,38.905795,-77.067717,20007,2,2E,SECOND,206,4,NONE,Nbclus_004
406682,2016-01-14T00:00:00.000Z,CONSTRUCTION,DEMOLITION,COMPLETED,"601 EDGEWOOD ST NE, WASHINGTON, DC 20017",,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.9239,-76.997498,20017,5,5C,FIFTH,502,21,NONE,Nbclus_021
406683,2016-01-14T00:00:00.000Z,CONSTRUCTION,MISCELLANEOUS,PERMIT ISSUED,"5701 BROAD BRANCH RD NW, WASHINGTON, DC 20015",,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.966628,-77.068037,20015,4,3G,SECOND,201,10,NONE,Nbclus_010
406686,2016-01-14T00:00:00.000Z,CONSTRUCTION,MISCELLANEOUS,PERMIT ISSUED,"2507 1ST ST NW, WASHINGTON, DC 20002",,2016-05-26T15:55:40.000Z,WASHINGTON,DC,38.923039,-77.010681,20002,5,5C,FIFTH,501,21,NONE,Nbclus_021
406928,2016-02-01T00:00:00.000Z,CONSTRUCTION,ADDITION,PERMIT ISSUED,"2009 COLUMBIA RD NW #2, WASHINGTON, DC 20009",R-5-D,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.917545,-77.04604,20009,1,1C,THIRD,303,1,NONE,Nbclus_001
406929,2016-02-01T00:00:00.000Z,CONSTRUCTION,ADDITION,PERMIT ISSUED,"3112 CHESTNUT ST NE, WASHINGTON, DC 20018",R-1-B,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.931073,-76.960775,20018,5,5A,FIFTH,503,24,NONE,Nbclus_024
406930,2016-02-01T00:00:00.000Z,CONSTRUCTION,ADDITION ALTERATION REPAIR,COMPLETED,"1366 F ST NE, WASHINGTON, DC 20002",,2016-04-20T08:26:55.000Z,WASHINGTON,DC,38.897507,-76.986158,20002,6,6A,FIRST,108,25,NONE,Nbclus_025
406687,2016-01-14T00:00:00.000Z,CONSTRUCTION,MISCELLANEOUS,PERMIT ISSUED,"601 NORTH CAROLINA AVE SE, WASHINGTON, DC 20003",,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.88627,-76.998194,20003,6,6B,FIRST,107,26,CAPITOL HILL BID,Nbclus_026
406688,2016-01-14T00:00:00.000Z,CONSTRUCTION,NEW BUILDING,PERMIT ISSUED,"3113 FORT LINCOLN DR NE, WASHINGTON, DC 20018",,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.926868,-76.959557,20018,5,5A,FIFTH,503,24,NONE,Nbclus_024
406689,2016-01-14T00:00:00.000Z,CONSTRUCTION,NEW BUILDING,PERMIT ISSUED,"3117 FORT LINCOLN DR NE, WASHINGTON, DC 20018",,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.926762,-76.959602,20018,5,5A,FIFTH,503,24,NONE,Nbclus_024
406690,2016-01-14T00:00:00.000Z,CONSTRUCTION,NEW BUILDING,PERMIT ISSUED,"3121 FORT LINCOLN DR NE, WASHINGTON, DC 20018",,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.92666,-76.959652,20018,5,5A,FIFTH,503,24,NONE,Nbclus_024
406691,2016-01-14T00:00:00.000Z,CONSTRUCTION,NEW BUILDING,PERMIT ISSUED,"3123 FORT LINCOLN DR NE, WASHINGTON, DC 20018",,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.926596,-76.959684,20018,5,5A,FIFTH,503,24,NONE,Nbclus_024
406692,2016-01-14T00:00:00.000Z,CONSTRUCTION,NEW BUILDING,PERMIT ISSUED,"3127 FORT LINCOLN DR NE, WASHINGTON, DC 20018",,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.926507,-76.959718,20018,5,5A,FIFTH,503,24,NONE,Nbclus_024
406693,2016-01-14T00:00:00.000Z,CONSTRUCTION,NEW BUILDING,PERMIT ISSUED,"3129 FORT LINCOLN DR NE, WASHINGTON, DC 20018",,2016-07-25T08:06:10.000Z,WASHINGTON,DC,38.926436,-76.959746,20018,5,5A,FIFTH,503,24,NONE,Nbclus_024
406694,2016-01-14T00:00:00.000Z,CONSTRUCTION,NEW BUILDING,PERMIT ISSUED,"3133 FORT LINCOLN DR NE, WASHINGTON, DC 20018",,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.926332,-76.959785,20018,5,5A,FIFTH,503,24,NONE,Nbclus_024
406931,2016-02-01T00:00:00.000Z,CONSTRUCTION,ADDITION ALTERATION REPAIR,PERMIT ISSUED,"3907 14TH ST NW, WASHINGTON, DC 20011",,2016-07-18T08:11:27.000Z,WASHINGTON,DC,38.938947,-77.032453,20011,4,4C,FOURTH,404,18,NONE,Nbclus_018
406932,2016-02-01T00:00:00.000Z,CONSTRUCTION,ADDITION ALTERATION REPAIR,PERMIT ISSUED,"1811 KALORAMA RD NW, WASHINGTON, DC 20009",R-5-B,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.919866,-77.042271,20009,1,1C,THIRD,303,1,NONE,Nbclus_001
406933,2016-02-01T00:00:00.000Z,CONSTRUCTION,ADDITION ALTERATION REPAIR,PERMIT ISSUED,"603 KENNEDY ST NW, WASHINGTON, DC 20011",C-2-A,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.956604,-77.021202,20011,4,4D,FOURTH,403,18,NONE,Nbclus_018
406934,2016-02-01T00:00:00.000Z,CONSTRUCTION,ADDITION ALTERATION REPAIR,PERMIT ISSUED,"4801 RODMAN ST NW, WASHINGTON, DC 20016",R-1-B,2016-07-30T08:14:30.000Z,WASHINGTON,DC,38.939591,-77.094665,20016,3,3D,SECOND,205,13,NONE,Nbclus_013
406935,2016-02-01T00:00:00.000Z,CONSTRUCTION,ALTERATION AND REPAIR,PERMIT ISSUED,"4530 40TH ST NW, UNIT# B, WASHINGTON, DC 20016",C-3-A,2016-08-03T08:09:07.000Z,WASHINGTON,DC,38.949101,-77.079212,20016,3,3F,SECOND,202,11,NONE,Nbclus_011
